ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
2304;Stefano Sabelli;it ITA;DF;Genoa;it Serie A;30;1993;32;30;2429;0;1;1;0;5;0;0.8;1.9
2305;Marcel Sabitzer;at AUT;MF;Dortmund;de Bundesliga;29;1994;25;23;1961;4;3;7;3;3;1;3.6;1.8
2306;Falaye Sacko;ml MLI;DF;Montpellier;fr Ligue 1;28;1995;19;15;1382;0;1;1;0;0;0;0.0;0.4
2307;Dominic Sadi;eng ENG;FW;Bournemouth;eng Premier League;19;2003;1;0;1;0;0;0;0;0;0;0.0;0.0
2308;Umar Sadiq;ng NGA;FW;Real Sociedad;es La Liga;26;1997;26;12;1077;3;1;4;3;4;0;3.6;1.1
2309;Alexis Saelemaekers;be BEL;FW,MF;Bologna;it Serie A;24;1999;30;21;1887;4;2;6;4;7;1;2.6;2.8
2310;Pablo Saenz;es ESP;MF;Granada;es La Liga;22;2001;1;0;19;0;0;0;0;0;0;0.0;0.0
2311;Modibo Sagnan;ml MLI;DF;Montpellier;fr Ligue 1;24;1999;13;12;1054;2;0;2;2;5;0;1.2;0.3
2312;Wesley Saïd;fr FRA;FW,MF;Lens;fr Ligue 1;28;1995;27;11;1020;7;1;8;7;1;0;5.7;0.9
2313;Théo Sainte-Luce;fr FRA;DF;Montpellier;fr Ligue 1;24;1998;6;3;346;0;0;0;0;1;0;0.1;0.1
2314;Bukayo Saka;eng ENG;FW;Arsenal;eng Premier League;21;2001;35;35;2919;16;9;25;10;4;0;15.5;10.5
2315;Mamadou Sakho;fr FRA;DF;Montpellier;fr Ligue 1;33;1990;1;0;7;0;0;0;0;0;0;0.0;0.0
2316;Ibrahim Salah;ma MAR;FW,MF;Rennes;fr Ligue 1;21;2001;23;4;524;4;1;5;4;3;0;3.1;0.5
2317;Mohamed Salah;eg EGY;FW;Liverpool;eng Premier League;31;1992;32;28;2534;18;10;28;13;2;0;21.2;11.8
2318;Amine Salama;fr FRA;FW;Reims;fr Ligue 1;23;2000;11;2;313;0;0;0;0;0;0;0.7;0.2
2319;Kike Salas;es ESP;DF;Sevilla;es La Liga;21;2002;23;19;1605;3;0;3;3;10;0;0.8;0.5
2320;William Saliba;fr FRA;DF;Arsenal;eng Premier League;22;2001;38;38;3420;2;1;3;2;4;0;1.6;0.2
2321;Mohammed Salisu;gh GHA;DF;Monaco;fr Ligue 1;24;1999;12;11;1035;0;1;1;0;2;0;0.2;0.2
2322;Roland Sallai;hu HUN;MF,FW;Freiburg;de Bundesliga;26;1997;27;22;1840;3;2;5;3;6;0;7.9;3.5
2323;Yoann Salmier;gf GUF;DF;Le Havre;fr Ligue 1;30;1992;20;18;1568;1;1;2;1;3;0;1.1;0.7
2324;Salvi;es ESP;MF;Rayo Vallecano;es La Liga;32;1991;1;0;28;0;0;0;0;0;0;0.0;0.0
2325;Lazar Samardzic;rs SRB;MF;Udinese;it Serie A;21;2002;34;28;2372;6;2;8;5;3;0;3.5;5.5
2326;Diadie Samassékou;ml MLI;MF;Cádiz;es La Liga;27;1996;4;0;92;0;0;0;0;0;0;0.0;0.0
2327;Diadie Samassékou;ml MLI;MF;Hoffenheim;de Bundesliga;27;1996;1;0;1;0;0;0;0;0;0;0.0;0.0
2328;Mama Samba Baldé;gw GNB;FW,MF;Lyon;fr Ligue 1;27;1995;20;4;551;2;3;5;2;1;0;3.4;2.3
2329;Brice Samba;fr FRA;GK;Lens;fr Ligue 1;29;1994;33;33;2970;0;0;0;0;3;0;0.0;0.2
2330;Albert Sambi Lokonga;be BEL;MF;Luton Town;eng Premier League;23;1999;17;16;1303;1;3;4;1;4;0;0.6;1.4
2331;Junior Sambia;fr FRA;DF,MF;Salernitana;it Serie A;26;1996;18;10;1032;1;2;3;1;4;0;0.5;0.9
2332;Fede San Emeterio;es ESP;MF;Cádiz;es La Liga;26;1997;4;3;152;1;0;1;1;1;1;0.1;0.1
2333;Antonio Sanabria;py PAR;FW,MF;Torino;it Serie A;27;1996;35;23;2133;5;0;5;3;2;0;9.3;1.4
2334;Oihan Sancet;es ESP;MF;Athletic Club;es La Liga;23;2000;30;25;1975;4;5;9;4;5;2;6.3;4.7
2335;Renato Sanches;pt POR;MF;Roma;it Serie A;25;1997;7;1;146;1;0;1;1;2;0;0.1;0.2
2336;Ricard Sánchez;es ESP;DF;Granada;es La Liga;23;2000;33;25;2295;3;0;3;3;8;0;1.0;1.9
2337;Alexis Sánchez;cl CHI;FW,MF;Inter;it Serie A;34;1988;23;6;763;2;5;7;1;0;0;3.2;3.1
2338;Antonio Sánchez;es ESP;MF;Mallorca;es La Liga;26;1997;29;21;1452;3;1;4;3;3;0;2.5;0.8
2339;Davinson Sánchez;co COL;DF;Tottenham;eng Premier League;27;1996;1;0;77;0;0;0;0;1;0;0.1;0.0
2340;Juanlu Sánchez;es ESP;DF;Sevilla;es La Liga;19;2003;26;11;1181;0;2;2;0;2;0;0.9;1.1
2341;Manu Sánchez;es ESP;DF,MF;Celta Vigo;es La Liga;22;2000;26;20;1775;0;5;5;0;3;0;0.5;2.7
2342;Robert Sánchez;es ESP;GK;Chelsea;eng Premier League;25;1997;16;16;1433;0;0;0;0;2;0;0.0;0.0
2343;Jadon Sancho;eng ENG;FW,MF;Manchester Utd;eng Premier League;23;2000;3;0;79;0;0;0;0;0;0;0.0;0.1
2344;Jadon Sancho;eng ENG;FW,MF;Dortmund;de Bundesliga;23;2000;14;11;947;2;2;4;2;1;0;0.7;3.0
2345;Alex Sandro;br BRA;DF;Juventus;it Serie A;32;1991;16;8;721;1;0;1;1;1;0;0.4;0.9
2346;Ibou Sané;sn SEN;MF,FW;Metz;fr Ligue 1;18;2005;9;0;128;1;0;1;1;1;0;0.7;0.0
2347;Leroy Sané;de GER;FW;Bayern Munich;de Bundesliga;27;1996;27;25;2137;8;11;19;8;4;0;10.9;10.8
2348;Sadibou Sané;sn SEN;DF;Metz;fr Ligue 1;19;2004;14;9;846;0;0;0;0;1;0;0.4;0.0
2349;Arouna Sangante;sn SEN;DF;Le Havre;fr Ligue 1;21;2002;30;30;2687;0;0;0;0;8;0;0.9;1.2
2350;Ibrahim Sangaré;ci CIV;MF;Nott'ham Forest;eng Premier League;25;1997;17;13;1035;0;0;0;0;6;0;0.6;0.4
2351;Morgan Sanson;fr FRA;MF;Nice;fr Ligue 1;28;1994;29;24;1964;2;3;5;2;4;0;3.3;4.0
2352;Nicola Sansone;it ITA;FW,MF;Lecce;it Serie A;31;1991;25;4;767;2;2;4;2;4;0;2.8;1.3
2353;Baptiste Santamaria;fr FRA;MF;Rennes;fr Ligue 1;28;1995;30;22;1926;0;1;1;0;3;0;1.9;0.6
2354;Jesús Santiago;es ESP;MF;Getafe;es La Liga;19;2004;14;8;656;1;0;1;1;4;0;0.6;0.4
2355;Andrey Santos;br BRA;MF;Nott'ham Forest;eng Premier League;19;2004;1;0;8;0;0;0;0;0;0;0.1;0.0
2356;Andrey Santos;br BRA;MF;Strasbourg;fr Ligue 1;19;2004;11;9;831;1;0;1;1;4;0;1.0;1.0
2357;Tiago Santos;pt POR;DF;Lille;fr Ligue 1;21;2002;29;26;2365;1;2;3;1;6;0;1.4;2.3
2358;Paco Sanz;es ESP;DF;Almería;es La Liga;18;2004;1;0;24;0;0;0;0;0;0;0.0;0.0
2359;Riccardo Saponara;it ITA;FW,MF;Hellas Verona;it Serie A;31;1991;12;3;342;0;0;0;0;0;0;0.1;0.2
2360;Pablo Sarabia;es ESP;MF,FW;Wolves;eng Premier League;31;1992;30;20;1745;4;7;11;2;5;0;5.5;5.9
2361;Amin Sarr;se SWE;FW,MF;Lyon;fr Ligue 1;22;2001;3;1;98;0;0;0;0;0;0;0.3;0.2
2362;Amin Sarr;se SWE;FW,MF;Wolfsburg;de Bundesliga;22;2001;14;2;386;0;0;0;0;0;0;0.6;0.2
2363;Bouna Sarr;sn SEN;DF;Bayern Munich;de Bundesliga;31;1992;2;1;106;0;0;0;0;0;0;0.2;0.0
2364;Ismaila Sarr;sn SEN;FW,MF;Marseille;fr Ligue 1;25;1998;23;15;1447;3;4;7;3;1;0;3.2;2.5
2365;Mamadou Sarr;fr FRA;DF;Lyon;fr Ligue 1;17;2005;1;0;8;0;0;0;0;0;0;0.0;0.0
2366;Martin Satriano;uy URU;FW;Brest;fr Ligue 1;22;2001;33;21;1864;4;4;8;4;4;0;6.1;2.9
2367;Téji Savanier;fr FRA;MF;Montpellier;fr Ligue 1;31;1991;32;32;2765;9;6;15;2;8;1;9.1;6.9
2368;Stefan Savić;me MNE;DF;Atlético Madrid;es La Liga;32;1991;23;19;1630;0;0;0;0;7;1;0.3;0.1
2369;Sávio;br BRA;FW,MF;Girona;es La Liga;19;2004;37;35;2976;9;10;19;9;5;0;6.1;7.9
2370;Zanos Savva;cy CYP;DF,MF;Torino;it Serie A;17;2005;2;0;28;1;0;1;1;0;0;0.2;0.0
2371;Saba Sazonov;ge GEO;DF;Torino;it Serie A;21;2002;12;2;356;0;0;0;0;2;0;0.2;0.0
2372;Joe Scally;us USA;DF;Gladbach;de Bundesliga;20;2002;31;25;2236;1;4;5;1;4;0;0.6;1.4
2373;Giorgio Scalvini;it ITA;DF;Atalanta;it Serie A;19;2003;33;31;2544;1;3;4;1;3;0;1.4;1.1
2374;Gianluca Scamacca;it ITA;FW;Atalanta;it Serie A;24;1999;29;17;1453;12;6;18;12;1;0;6.5;3.9
2375;Dane Scarlett;eng ENG;FW;Tottenham;eng Premier League;19;2004;4;0;22;0;0;0;0;0;0;0.0;0.0
2376;Kevin Schade;de GER;FW,MF;Brentford;eng Premier League;21;2001;11;3;333;2;1;3;2;0;0;1.2;0.7
2377;András Schäfer;hu HUN;MF;Union Berlin;de Bundesliga;24;1999;20;14;1214;1;2;3;1;1;1;1.8;1.5
2378;Fabian Schär;ch SUI;DF;Newcastle Utd;eng Premier League;31;1991;36;35;3054;4;1;5;4;5;0;2.5;0.7
2379;Patrik Schick;cz CZE;FW;Leverkusen;de Bundesliga;27;1996;20;12;1063;7;0;7;6;1;0;6.0;1.0
2380;Stefan Schimmer;de GER;MF,FW;Heidenheim;de Bundesliga;29;1994;16;0;153;0;1;1;0;0;0;0.6;0.9
2381;Xaver Schlager;at AUT;MF;RB Leipzig;de Bundesliga;25;1997;29;29;2477;0;5;5;0;7;0;1.1;2.6
2382;Keven Schlotterbeck;de GER;DF;Bochum;de Bundesliga;26;1997;27;24;2185;5;1;6;5;9;0;2.0;0.6
2383;Nico Schlotterbeck;de GER;DF;Dortmund;de Bundesliga;23;1999;33;32;2859;2;1;3;2;4;0;3.0;1.9
2384;Jeffrey Schlupp;gh GHA;FW,MF;Crystal Palace;eng Premier League;30;1992;29;17;1352;2;2;4;2;1;0;1.8;2.3
2385;Romano Schmid;at AUT;MF,FW;Werder Bremen;de Bundesliga;23;2000;33;30;2601;4;6;10;4;5;0;5.2;6.3
2386;Kenneth Schmidt;de GER;DF;Freiburg;de Bundesliga;21;2002;5;0;68;0;0;0;0;0;0;0.0;0.1
2387;Niklas Schmidt;de GER;MF;Toulouse;fr Ligue 1;25;1998;22;15;1269;1;1;2;1;4;0;1.2;2.4
2388;Benno Schmitz;de GER;DF;Köln;de Bundesliga;28;1994;22;13;1155;0;1;1;0;5;0;0.2;0.3
2389;Fabian Schnellhardt;de GER;MF;Darmstadt 98;de Bundesliga;29;1994;10;2;235;0;0;0;0;1;0;0.2;0.1
2390;Jan Schöppner;de GER;MF;Heidenheim;de Bundesliga;24;1999;26;23;1998;2;2;4;2;3;0;1.1;1.5
2391;Marcel Schuhen;de GER;GK;Darmstadt 98;de Bundesliga;30;1993;31;31;2790;0;0;0;0;2;0;0.0;0.0
2392;Perr Schuurs;nl NED;DF;Torino;it Serie A;23;1999;9;9;770;1;0;1;1;2;0;0.7;0.0
2393;Marvin Schwäbe;de GER;GK;Köln;de Bundesliga;28;1995;34;34;3060;0;0;0;0;0;0;0.0;0.1
2394;Alexander Schwolow;de GER;GK;Union Berlin;de Bundesliga;31;1992;1;1;90;0;0;0;0;0;0;0.0;0.0
2395;Alex Scott;eng ENG;MF;Bournemouth;eng Premier League;19;2003;23;11;1014;1;1;2;1;3;0;0.7;1.7
2396;Simone Scuffet;it ITA;GK;Cagliari;it Serie A;27;1996;31;31;2789;0;0;0;0;3;0;0.0;0.0
2397;Jérémy Sebas;mq MTQ;FW,MF;Strasbourg;fr Ligue 1;20;2003;14;2;399;2;0;2;2;0;0;1.0;0.0
2398;Demba Seck;sn SEN;MF;Torino;it Serie A;22;2001;9;5;425;0;0;0;0;1;0;0.3;0.1
2399;Demba Seck;sn SEN;FW,MF;Frosinone;it Serie A;22;2001;11;3;298;0;0;0;0;0;0;1.1;0.3
2400;Aleksandar Sedlar;rs SRB;DF;Alavés;es La Liga;31;1991;11;11;946;1;0;1;1;2;0;0.3;0.1
2401;Alidu Seidu;gh GHA;DF;Rennes;fr Ligue 1;23;2000;11;7;593;0;0;0;0;3;0;0.2;0.1
2402;Alidu Seidu;gh GHA;DF;Clermont Foot;fr Ligue 1;23;2000;14;13;1131;0;1;1;0;5;1;0.1;0.7
2403;Nicolas Seiwald;at AUT;MF;RB Leipzig;de Bundesliga;22;2001;21;6;718;0;2;2;0;1;0;0.0;0.3
2404;Nikola Sekulov;it ITA;FW;Juventus;it Serie A;21;2002;1;0;11;0;0;0;0;0;0;0.0;0.0
2405;Davie Selke;de GER;FW;Köln;de Bundesliga;28;1995;19;16;1265;6;0;6;6;3;0;4.8;0.4
2406;Matz Sels;be BEL;GK;Nott'ham Forest;eng Premier League;31;1992;16;16;1440;0;0;0;0;1;0;0.0;0.1
2407;Matz Sels;be BEL;GK;Strasbourg;fr Ligue 1;31;1992;19;19;1710;0;0;0;0;2;0;0.0;0.5
2408;Nélson Semedo;pt POR;DF,MF;Wolves;eng Premier League;29;1993;36;36;3084;0;1;1;0;10;1;1.3;1.7
2409;Vivaldo Semedo;pt POR;FW;Udinese;it Serie A;18;2005;1;0;12;0;0;0;0;0;0;0.0;0.0
2410;Antoine Semenyo;gh GHA;FW;Bournemouth;eng Premier League;23;2000;33;25;2105;8;2;10;8;6;0;4.6;3.2
2411;Marvin Senaya;tg TOG;DF,MF;Strasbourg;fr Ligue 1;22;2001;32;23;2138;1;1;2;1;5;1;1.2;2.8
2412;Marcos Senesi;ar ARG;DF;Bournemouth;eng Premier League;26;1997;31;26;2242;4;5;9;4;13;0;2.0;1.7
2413;Stefano Sensi;it ITA;MF;Inter;it Serie A;27;1995;4;0;46;0;1;1;0;0;0;0.1;0.1
2414;Suat Serdar;de GER;MF;Hellas Verona;it Serie A;26;1997;25;19;1659;0;2;2;0;7;0;1.0;1.4
2415;Benjamin Šeško;si SVN;FW;RB Leipzig;de Bundesliga;20;2003;31;17;1526;14;2;16;14;0;0;7.7;1.1
2416;Kevin Sessa;de GER;MF,FW;Heidenheim;de Bundesliga;23;2000;30;7;1011;3;0;3;3;1;0;2.9;1.3
2417;Aaron Seydel;de GER;FW;Darmstadt 98;de Bundesliga;27;1996;16;5;619;1;0;1;1;1;0;1.0;0.7
2418;Andres Sfait;ro ROU;DF,MF;Salernitana;it Serie A;18;2004;2;0;23;0;0;0;0;0;0;0.0;0.1
2419;Stephan El Shaarawy;it ITA;FW,DF;Roma;it Serie A;30;1992;33;19;1738;3;4;7;3;2;0;2.5;2.3
2420;Luke Shaw;eng ENG;DF;Manchester Utd;eng Premier League;28;1995;12;12;959;0;0;0;0;6;0;0.0;1.0
2421;James Shea;eng ENG;GK;Luton Town;eng Premier League;32;1991;1;0;15;0;0;0;0;0;0;0.0;0.0
2422;Eldor Shomurodov;uz UZB;FW,MF;Cagliari;it Serie A;28;1995;22;10;936;3;3;6;3;1;0;3.5;1.7
2423;Steven Shpendi;al ALB;FW,MF;Empoli;it Serie A;20;2003;12;4;411;0;1;1;0;0;0;0.4;0.5
2424;Sofiane Sidi Ali;fr FRA;MF;Marseille;fr Ligue 1;28;1995;2;0;18;0;0;0;0;0;0;0.0;0.0
2425;Vincent Sierro;ch SUI;MF;Toulouse;fr Ligue 1;27;1995;30;25;2261;6;2;8;2;8;0;5.9;2.3
2426;Tim Siersleben;de GER;DF;Heidenheim;de Bundesliga;23;2000;14;10;910;0;0;0;0;1;0;0.2;0.5
2427;Kiliann Sildillia;fr FRA;DF;Freiburg;de Bundesliga;21;2002;27;20;1806;0;1;1;0;2;1;0.6;0.8
2428;André Silva;pt POR;FW;Real Sociedad;es La Liga;27;1995;19;9;729;3;0;3;2;1;0;3.3;0.3
2429;Bernardo Silva;pt POR;MF,FW;Manchester City;eng Premier League;28;1994;33;29;2578;6;9;15;6;8;0;3.7;7.6
2430;Caio Henrique Oliveira Silva;br BRA;DF;Monaco;fr Ligue 1;26;1997;9;7;623;0;5;5;0;0;0;0.2;1.3
2431;Fábio Silva;pt POR;FW;Wolves;eng Premier League;21;2002;8;3;264;0;0;0;0;2;0;1.0;0.2
2432;Rui Silva;pt POR;GK;Betis;es La Liga;29;1994;28;28;2475;0;0;0;0;4;0;0.0;0.0
2433;Thiago Silva;br BRA;DF;Chelsea;eng Premier League;38;1984;31;28;2527;3;1;4;3;4;0;0.8;1.0
2434;Marco Silvestri;it ITA;GK;Udinese;it Serie A;32;1991;17;17;1530;0;0;0;0;0;0;0.0;0.0
2435;Mohamed Simakan;fr FRA;DF;RB Leipzig;de Bundesliga;23;2000;32;23;2138;2;3;5;2;8;0;3.9;3.3
2436;Giovanni Simeone;ar ARG;FW;Napoli;it Serie A;28;1995;28;8;800;1;0;1;1;3;0;3.4;0.6
2437;Giuliano Simeone;ar ARG;FW;Alavés;es La Liga;20;2002;14;6;630;1;2;3;1;1;0;2.4;2.0
2438;Jan-Carlo Simic;rs SRB;DF;Milan;it Serie A;18;2005;4;0;146;1;0;1;1;0;0;0.6;0.0
2439;Moses Simon;ng NGA;FW,MF;Nantes;fr Ligue 1;28;1995;22;21;1788;3;5;8;2;0;0;4.1;3.7
2440;Unai Simón;es ESP;GK;Athletic Club;es La Liga;26;1997;36;36;3182;0;0;0;0;2;0;0.0;0.0
2441;Xavi Simons;nl NED;MF;RB Leipzig;de Bundesliga;20;2003;32;32;2653;8;11;19;7;11;1;8.3;9.8
2442;Wilfried Singo;ci CIV;DF;Monaco;fr Ligue 1;22;2000;25;24;2187;1;1;2;1;8;1;0.8;1.0
2443;Luis Sinisterra;co COL;FW,MF;Bournemouth;eng Premier League;24;1999;20;7;699;2;2;4;2;0;0;2.5;2.4
2444;Daley Sinkgraven;nl NED;DF;Las Palmas;es La Liga;28;1995;11;6;388;0;0;0;0;0;1;0.0;0.0
2445;Jailson Siqueira;br BRA;DF,MF;Celta Vigo;es La Liga;27;1995;14;9;897;0;1;1;0;1;0;0.2;0.5
2446;Ayanda Sishuba;be BEL;MF,FW;Lens;fr Ligue 1;18;2005;7;0;62;0;0;0;0;0;0;0.9;0.0
2447;Ibrahima Sissoko;ml MLI;MF;Strasbourg;fr Ligue 1;25;1997;27;18;1642;0;1;1;0;7;0;1.0;1.7
2448;Moussa Sissoko;fr FRA;MF;Nantes;fr Ligue 1;33;1989;26;21;1821;0;0;0;0;7;0;1.3;1.1
2449;Antonio Sivera;es ESP;GK;Alavés;es La Liga;26;1996;34;34;3060;0;0;0;0;3;0;0.0;0.1
2450;Tim Skarke;de GER;FW,DF;Darmstadt 98;de Bundesliga;26;1996;30;29;2404;8;0;8;8;7;0;3.6;2.1
2451;Ellyes Skhiri;tn TUN;MF;Eint Frankfurt;de Bundesliga;28;1995;27;24;2168;2;2;4;2;1;0;2.3;1.0
2452;Oliver Skipp;eng ENG;MF,DF;Tottenham;eng Premier League;22;2000;21;5;707;0;0;0;0;3;0;0.7;0.6
2453;Leo Skiri Østigård;no NOR;DF;Napoli;it Serie A;23;1999;25;18;1625;1;0;1;1;3;0;0.6;0.1
2454;Łukasz Skorupski;pl POL;GK;Bologna;it Serie A;32;1991;32;32;2880;0;0;0;0;2;0;0.0;0.0
2455;Robert Skov;dk DEN;DF,FW;Hoffenheim;de Bundesliga;27;1996;25;14;1260;3;4;7;3;2;0;1.8;1.9
2456;Milan Škriniar;sk SVK;DF;Paris S-G;fr Ligue 1;28;1995;24;17;1629;0;0;0;0;1;0;0.2;0.1
2457;Naatan Skyttä;fi FIN;MF,FW;Toulouse;fr Ligue 1;21;2002;8;0;120;0;0;0;0;0;0;0.5;0.6
2458;Chris Smalling;eng ENG;DF;Roma;it Serie A;33;1989;8;4;390;0;0;0;0;0;0;0.0;0.4
2459;Adam Smith;eng ENG;DF;Bournemouth;eng Premier League;32;1991;28;25;2150;0;2;2;0;6;0;0.1;1.3
2460;Emile Smith Rowe;eng ENG;MF;Arsenal;eng Premier League;23;2000;13;3;353;0;1;1;0;0;0;2.0;0.2
2461;Hrvoje Smolčić;hr CRO;DF;Eint Frankfurt;de Bundesliga;22;2000;11;3;347;1;0;1;1;0;0;1.0;0.0
2462;Cédric Soares;pt POR;DF;Arsenal;eng Premier League;31;1991;3;0;62;0;0;0;0;0;0;0.0;0.0
2463;Danilo Soares;br BRA;DF;Bochum;de Bundesliga;31;1991;5;3;351;0;0;0;0;0;0;0.0;0.1
2464;Eduard Sobol;ua UKR;DF;Strasbourg;fr Ligue 1;28;1995;3;0;25;0;0;0;0;0;0;0.0;0.0
2465;Rubén Sobrino;es ESP;MF,FW;Cádiz;es La Liga;31;1992;32;18;1646;0;1;1;0;8;1;1.8;2.3
2466;Andrea Sodero;it ITA;MF;Empoli;it Serie A;18;2004;1;0;5;0;0;0;0;0;0;0.0;0.0
2467;Emran Soglo;eng ENG;MF,DF;Marseille;fr Ligue 1;18;2005;3;1;109;1;1;2;1;1;0;0.1;0.2
2468;Alex Sola;es ESP;FW,MF;Alavés;es La Liga;24;1999;29;14;1262;0;3;3;0;2;0;1.6;2.3
2469;Alex Sola;es ESP;DF,MF;Real Sociedad;es La Liga;24;1999;2;0;30;0;0;0;0;0;0;0.0;0.0
2470;Dominic Solanke;eng ENG;FW;Bournemouth;eng Premier League;25;1997;38;37;3325;19;3;22;17;3;0;19.6;3.0
2471;Ola Solbakken;no NOR;FW;Roma;it Serie A;24;1998;1;0;23;0;0;0;0;0;0;0.0;0.0
2472;Carlos Soler;es ESP;MF,DF;Paris S-G;fr Ligue 1;26;1997;24;12;1090;2;2;4;2;1;0;1.5;2.4
2473;Jhon Solis;co COL;MF;Girona;es La Liga;18;2004;18;2;384;0;0;0;0;0;0;1.0;0.3
2474;Manor Solomon;il ISR;FW;Tottenham;eng Premier League;24;1999;5;2;199;0;2;2;0;1;0;0.4;0.8
2475;Daniele Sommariva;it ITA;GK;Genoa;it Serie A;26;1997;1;0;5;0;0;0;0;0;0;0.0;0.0
2476;Yann Sommer;ch SUI;GK;Inter;it Serie A;34;1988;34;34;3060;0;0;0;0;1;0;0.0;0.0
2477;Brandon Soppy;fr FRA;DF;Torino;it Serie A;21;2002;5;2;178;0;0;0;0;0;0;0.0;0.1
2478;David Soria;es ESP;GK;Getafe;es La Liga;30;1993;38;38;3413;0;0;0;0;3;0;0.0;0.0
2479;Alberto Soro;es ESP;MF;Granada;es La Liga;24;1999;1;0;8;0;0;0;0;0;0;0.0;0.0
2480;Alessandro Sorrentino;it ITA;GK;Monza;it Serie A;21;2002;7;5;548;0;0;0;0;0;0;0.0;0.0
2481;Borna Sosa;hr CRO;FW,DF;Stuttgart;de Bundesliga;25;1998;2;0;46;0;0;0;0;0;0;0.0;0.3
2482;Hugo Sotelo;es ESP;MF;Celta Vigo;es La Liga;19;2003;17;8;721;0;1;1;0;1;0;0.3;1.6
2483;Florian Sotoca;fr FRA;MF,FW;Lens;fr Ligue 1;32;1990;32;29;2598;7;6;13;3;4;1;9.1;6.5
2484;Riccardo Sottil;it ITA;FW;Fiorentina;it Serie A;24;1999;22;13;1103;2;3;5;2;1;0;2.6;2.5
2485;Tomáš Souček;cz CZE;MF;West Ham;eng Premier League;28;1995;37;34;2870;7;2;9;7;7;0;6.7;1.7
2486;Matìas Soulé;ar ARG;FW,MF;Frosinone;it Serie A;20;2003;36;36;3121;11;3;14;6;4;0;10.5;6.6
2487;Boubakary Soumaré;fr FRA;MF;Sevilla;es La Liga;24;1999;28;26;2286;0;1;1;0;10;0;0.0;0.9
2488;Issa Soumaré;sn SEN;FW,MF;Le Havre;fr Ligue 1;22;2000;7;3;237;0;0;0;0;0;0;0.4;0.6
2489;Vinicius Souza;br BRA;MF;Sheffield Utd;eng Premier League;24;1999;36;29;2668;1;0;1;1;3;0;0.6;0.2
2490;Djibril Sow;ch SUI;MF;Sevilla;es La Liga;26;1997;24;18;1460;1;1;2;1;6;0;1.5;0.8
2491;Saidou Sow;gn GUI;DF;Strasbourg;fr Ligue 1;21;2002;10;8;719;0;1;1;0;2;0;0.3;0.5
2492;Çağlar Söyüncü;tr TUR;DF;Atlético Madrid;es La Liga;27;1996;6;1;114;0;0;0;0;0;1;0.0;0.0
2493;Djed Spence;eng ENG;DF;Genoa;it Serie A;22;2000;16;8;859;0;0;0;0;1;0;0.2;0.3
2494;Stijn Spierings;nl NED;MF;Toulouse;fr Ligue 1;27;1996;22;16;1516;0;1;1;0;5;0;0.4;0.6
2495;Stijn Spierings;nl NED;MF;Lens;fr Ligue 1;27;1996;4;1;118;0;0;0;0;2;0;0.0;0.0
2496;Leonardo Spinazzola;it ITA;DF;Roma;it Serie A;30;1993;24;15;1312;1;2;3;1;0;0;0.2;3.0
2497;Marco Sportiello;it ITA;GK;Milan;it Serie A;31;1992;7;7;630;0;0;0;0;0;0;0.0;0.0
2498;Anton Stach;de GER;MF;Hoffenheim;de Bundesliga;24;1998;31;26;2321;2;3;5;2;4;0;1.7;3.5
2499;Anton Stach;de GER;MF;Mainz 05;de Bundesliga;24;1998;2;2;170;0;0;0;0;0;0;0.2;0.1
2500;Jens Stage;dk DEN;MF;Werder Bremen;de Bundesliga;26;1996;30;26;2327;3;1;4;3;5;1;4.4;1.9
2501;Benjamin Stambouli;fr FRA;MF;Reims;fr Ligue 1;32;1990;7;3;286;0;1;1;0;4;0;0.1;0.1
2502;Josip Stanišić;hr CRO;DF;Leverkusen;de Bundesliga;23;2000;20;13;1261;3;1;4;3;3;0;0.8;1.7
2503;Carl Starfelt;se SWE;DF;Celta Vigo;es La Liga;28;1995;27;26;2216;1;0;1;1;4;0;1.4;0.2
2504;Niklas Stark;de GER;DF;Werder Bremen;de Bundesliga;28;1995;17;12;1088;2;0;2;2;4;0;0.2;0.0
2505;Jason Steele;eng ENG;GK;Brighton;eng Premier League;32;1990;17;17;1530;0;0;0;0;0;0;0.0;0.0
2506;Pascal Stenzel;de GER;DF;Stuttgart;de Bundesliga;27;1996;23;14;1064;0;5;5;0;3;1;0.3;3.2
2507;Leonidas Stergiou;ch SUI;DF;Stuttgart;de Bundesliga;21;2002;15;6;594;1;0;1;1;0;0;0.4;0.4
2508;Raheem Sterling;eng ENG;FW,MF;Chelsea;eng Premier League;28;1994;31;22;1978;8;4;12;8;7;0;6.5;4.5
2509;Trivante Stewart;jm JAM;FW,MF;Salernitana;it Serie A;23;2000;4;0;100;0;0;0;0;0;0;0.1;0.1
2510;Angelo Stiller;de GER;MF;Hoffenheim;de Bundesliga;22;2001;1;1;84;0;0;0;0;0;0;0.1;0.0
2511;Angelo Stiller;de GER;MF;Stuttgart;de Bundesliga;22;2001;31;30;2694;1;5;6;1;5;0;1.6;5.1
2512;Kevin Stöger;at AUT;MF;Bochum;de Bundesliga;29;1993;32;32;2668;7;10;17;3;8;0;6.2;9.9
